 Comment / ID, Start time, Sample size, Corr. f, Density,,
 Sample11, 6/17/2014 1:47:05 PM, 100.34 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,20.2, NaN, NaN,0,20.9
0.04,0.04,-48.8,-69, NaN,28,20.9
0.08,0.04,-49.5,-0.7, NaN,31,20.9
0.12,0.04,-48.7,0.8, NaN,35,20.9
0.16,0.04,-47.2,1.5, NaN,40,20.9
0.2,0.04,-36.7,10.5, NaN,71,20.9
0.24,0.04,-28,8.7, NaN,95,20.9
0.28,0.04,-23.1,4.9, NaN,101,20.9
0.32,0.04,-15.3,7.8, NaN,122,20.9
0.36,0.04,-10.6,4.7, NaN,129,20.9
0.4,0.04,-3.4,7.2, NaN,134,20.9
0.44,0.04,-1.7,1.7, NaN,139,20.9
0.48,0.04,-0.5,1.2, NaN,143,20.9
0.52,0.04,3.4,3.9, NaN,153,20.9
0.56,0.04,5.7,2.3, NaN,158,20.9
0.6,0.04,8.4,2.7, NaN,166,20.9
0.64,0.04,12.7,4.3, NaN,172,20.9
0.68,0.04,14.8,2.1, NaN,178,20.9
0.72,0.04,18.4,3.6, NaN,182,20.9
0.76,0.04,20.4,2, NaN,187,20.9
0.8,0.04,23.5,3.1, NaN,192,20.9
0.84,0.04,26.4,2.9, NaN,196,20.9
0.88,0.04,29.1,2.7, NaN,201,20.9
0.92,0.04,31.2,2.1, NaN,205,20.9
0.96,0.04,35.8,4.6, NaN,209,20.9
1,0.04,37.2,1.4, NaN,213,20.9
1.04,0.04,39.6,2.4, NaN,217,20.9
1.08,0.04,42.4,2.8, NaN,221,20.9
1.12,0.04,43.1,0.7, NaN,225,20.9
1.16,0.04,47.9,4.8, NaN,229,20.9
1.2,0.04,51.2,3.3, NaN,233,20.9
1.24,0.04,53.2,2, NaN,237,20.9
1.28,0.04,55.9,2.7, NaN,240,20.9
1.32,0.04,62.7,6.8, NaN,244,20.8
1.36,0.04,66.7,4, NaN,248,20.9
1.4,0.04,67.3,0.6, NaN,252,20.9
1.44,0.04,69,1.7, NaN,255,20.9
1.48,0.04,71.8,2.8, NaN,259,20.9
1.52,0.04,77.8,6, NaN,262,20.8
1.56,0.04,77.1,-0.7, NaN,266,20.8
1.6,0.04,83.5,6.4, NaN,270,20.8
1.64,0.04,84.2,0.7, NaN,273,20.8
1.68,0.04,83.8,-0.4, NaN,276,20.8
1.72,0.04,85,1.2, NaN,293,20.8
1.76,0.04,95.5,10.5, NaN,296,20.8
1.8,0.04,99.3,3.8, NaN,300,20.8
